CONTEXT:,locale/en_US.po,locale/cs_CZ.po,locale/de_DE.po,locale/en_AU.po,locale/en_PT.po,locale/fr_FR.po,locale/gd_GB.po,locale/ja_JP.po,locale/nl_NL.po,locale/pl_PL.po,locale/pt_BR.po,locale/ru_RU.po,locale/sl_SI.po,locale/sv_SE.po,locale/tok_TOK.po,locale/tr_TR.po,locale/uk_UA.po,locale/lol_us.po
,note,poznámka,,ǝʇou,"note, listen up mateys",,,ノート,notitie,notatka,,,opomba,notera,toki,,примітка,Just a lil note to remind you: I can has notez too!
EOF = end of file,unexpected EOF,neočekávaný EOF,,ℲOƎ pǝʇɔǝdxǝun,"unexpected End of File, arrr",,,予想されていないEOFです,onverwachte EVB,niespodziewane EOF,,,nepričakovan EOF,oväntat slut på filen,pini lipu pakala,,неочікуваний кінець файлу,OOF! Unexpected End of File. Iz this teh end?
,expected `{}`,očekáváno `{}`,,",{}, pǝʇɔǝdxǝ","expected `{}`, arrr",,,`{}`が予想されます,verwachte `{}`,spodziewane `{}`,,,pričakovan `{}`,förväntade `{}`,`{}` pona,,очікувано `{}`,Expected some {0}. But got none {0}. Sad cat is sad.
,unexpected `{}`,neočekávané `{}`,,",{}, pǝʇɔǝdxǝun","unexpected `{}`, avast",,,予想されていない`{}`,onverwachte `{}`,niespodziewane `{}`,,,nepričakovan `{}`,oväntat `{}`,`{}` pakala,,неочікуваний `{}`,"LOL! Didn't expect {}. Surprise, surprise!"
,unexpected word,neočekávané slovo,,pɹoʍ pǝʇɔǝdxǝun,"unexpected word, shiver me timbers",,,予想されていないワード,unverwacht woord,niespodziewane słowo,,,nepričakovana beseda,oväntat ord,nimi pakala,,неочікуване слово,"Wat is dis word, hooman? Teach me teh human languagez."
,consider replacing `{}` with `{}`,zvažte nahrazení `{}` za `{}`,,",{1}, ɥʇᴉʍ ,{0}, ƃuᴉɔɐldǝɹ ɹǝpᴉsuoɔ",think about replacin' `{}` with `{}`,,,`{}`を`{}`に変更されてはどうですか？,overweeg om `{}` te vervangen met `{}`,rozważ zamianę `{}` na `{}`,,,razmislite o zamenjavi `{}` z `{}`,överväg att ersätta `{}` med `{}`,sina o weka e `{}` o sin e `{}`,,спробуйте замінити `{}` на `{}`,Maybe try replacing dis {} with dis {}? Just sayin'.
,unclosed quote,neuzavřené uvozovky,,ǝʇonb pǝsolɔun,"unclosed quote, arrr",,,"終端の""文字がありません",ongesloten aanhalingstekens,niezakończony cudzysłów,,,nezaključen narekovaj,oavslutat citat,sitelen pi nimi mute li jo ala e pini,,незаркиті лапки,OH NOES! Unclosed quote. Plz close it before I get lost.
,invalid word,neplatné slovo,,pɹoʍ pᴉlɐʌuᴉ,"barnacle-covered word, arrr",,,無効なワードです,ongeldig woord,,,,neveljavna beseda,ogiltigt ord,nimi pakala,,некопектне слово,"I can haz invalid wordz? No can do, fren."
,expected at least one character,očekáván alespoň jeden znak,,ɹǝʇɔɐɹɐɥɔ ǝuo ʇsɐǝl ʇɐ pǝʇɔǝdxǝ,"expected at least one character, arrr",,,少なとも一つの文字が予想されます,verwachtte minimaal één karakter,,,,pričakovan vsaj en znak,förväntade minst ett tecken,sitelen wan pona anu sitelen mute pona,,очікувано принаймі 1 символ,Plz give me at least one character. Kthx.
,expected at least one graphical character,očekáván alespoň jeden viditelný znak,,ɹǝʇɔɐɹɐɥɔ lɐɔᴉɥdɐɹƃ ǝuo ʇsɐǝl ʇɐ pǝʇɔǝdxǝ,"expected at least one piece of eight-worthy character, arrr",,,表示できる文字が予想されます,verwachtte minimaal één grafisch karakter,,,,pričakovan vsaj en grafični znak,förväntade minst ett grafiskt tecken,sitelen lukin wan pona anu sitelen lukin mute pona,,очікувано принаймі 1 графічний символ,"Gimme graphical characterz, not just random stuff!"
for use with [1],regular file,obyčejný soubor,,ǝlᴉɟ ɹɐlnƃǝɹ,"regular parchment, arrr",,,普通のファイル,regulier bestand,,,,navadna datoteka,vanlig fil,lipu,,звичайним файлом,"Ohai! I'm a regular file, not a fancy one."
for use with [1],directory,adresář,,ʎɹoʇɔǝɹᴉp,"holdin' cell, arrr",,,ディレクトリ,map,,,,mapa,mapp,kulupu lipu,,папкою,"Just a regular directory, nothing to see here."
for use with [1],symlink,symlink,,ʞuᴉlɯʎs,"magical link, arrr",,,シンボリックリンク,symbolische link,,,,simbolična povezava,symbolisk länk,lipu pi ma ante,,посиланням,"I'm a magical symlink, leading nowhere and everywhere."
for use with [1],block device,blokové zařízení,,ǝɔᴉʌǝp ʞɔolq,"cannonball holdin' device, arrr",,,ブロックデバイス,blok apparaat,,,,bločna naprava,blockera enhet,lipu leko,,блочним пристроєм,"I'm a block cat, not a block chain. Meow."
for use with [1],character device,znakové zařízení,,ǝɔᴉʌǝp ɹǝʇɔɐɹɐɥɔ,"character holdin' device, arrr",,,キャラクタデバイス,karakter apparaat,,,,znakovna naprava,teckenenhet,lipu sitelen,,символьним пристроєм,"Call me Kitty Device! I'm a character device, rawr!"
for use with [1],fifo,fifo,,oɟᴉɟ,"fifo (a type of pirate speak), arrr",,,ファイフォー,wachtrij,,,,fifo,först-in-först-ut,lipu linja,,,FIFO at ur service. Me haz dataz for u.
for use with [1],socket,socket,,ʇǝʞɔos,"spyglass, arrr",,,ソケット,stopcontact,,,,vtičnik,socket,lipu toki,,сокетом,"Squeaky clean socket, ready for communication!"
for use with [1],unknown,neznámý,,uʍouʞun,"unknown, arrr",,,不明,onbekend,,,,neznano,okänd,lipu pi sona ala,,невідомо чим,"I'm in ur code, doing unexpected stuffz."
failed to execute the stat command on a file,failed to stat file,nepovedlo se provést stat na souboru,,ǝlᴉɟ ʇɐʇs oʇ pǝlᴉɐɟ,"failed to spyglass parchment, arrr",,,ファイルをstatできませんでした,kon stat niet uitvoeren op bestand,,,,napaka pri izvršitvi stat na datoteki,misslyckade att exekvera stat för filen,sona lipu li pakala,,не вдалося виконати stat,OH NOES! Failed to stat file. Iz it hiding from me?
"warning: not a normal file
 --> <source>:8:6
  | 
8 | ssl / /
  |     ^ 
  |     |
  |     is a directory",not a normal file,neobyčejný soubor,,ǝlᴉɟ lɐɯɹou ɐ ʇou,"not a normal parchment, arrr",,,普通のファイルではありません,niet een normaal bestand,,,,ni navadna datoteka,inte en vanlig fil,lipu nasa,,не є звичайним файлом,"Not a normal file, but what is ""normal"" anyway?"
,is a directory,je adresář,,ʎɹoʇɔǝɹᴉp ɐ sᴉ,"be a holdin' cell, arrr",,,ディレクトリです,is een map,,,,je mapa,är en mapp,ona li kulupu lipu,,є папкою,"OH NOES! I'm a directory, not a file! Halp, file needed!"
,not an executable file,nespustitelný soubor,,ǝlᴉɟ ǝlqɐʇnɔǝxǝ uɐ ʇou,"not an executable parchment, arrr",,,実行形式的なファールではありません,niet een uitvoerbaar bestand,,,,ni izvršljiva datoteka,inte en exekverbar fil,lipu pali ala,,не є виконуваним файлом,"I'm not executable, unlike my dreams of catching red dot."
http status code,invalid response code,neplatný kód odpovědi,,ǝpoɔ ǝsuodsǝɹ pᴉlɐʌuᴉ,"foul response code, arrr",,,無効なステータス,ongeldige reactiecode,,,,neveljavna odzivna koda,ogiltigt svarskod,nanpa ilo pakala,,некоректний код відповіді,Error: Invalid response code. Did I break teh internetz?
http status code,invalid redirect code,neplatný kód přesměrování,,ǝpoɔ ʇɔǝɹᴉpǝɹ pᴉlɐʌuᴉ,"rotten redirect code, arrr",,,無効なリダイレクトコード,ongeldig omleidingscode,,,,neveljavna preusmeritvena koda,ogiltig omdirigeringskod,nanpa ilo pakala,,некоректний код перенаправлення,Oh snap! Invalid redirect code. Who's playing tricks?
like when you try to redirect with 200 OK,suspicious redirect code,podivný kód přesměrování,,ǝpoɔ ʇɔǝɹᴉpǝɹ snoᴉɔᴉdsns,"suspicious redirect code, arrr",,,怪しいリダイレクトコード,verdachte omleidingscode,,,,sumljiva preusmeritvena koda,misstänksam omdirigeringskod,nanpa ilo nasa,,підозрілий код перенаправлення,Suspicious much? Redirect looks fishy to me.
,"did you mean one of: {}, {}, {}, {}?","měli jste na mysli jedno z následujících: {}, {}, {}, {}?",,¿{3} '{2} '{1} '{0} :ɟo ǝuo uɐǝɯ noʎ pᴉp,"did ye mean one of: {}, {}, {}, {}?",,,"{}, {}, {}, {}を使おうとされましたか？","bedoelde u {}, {}, {}, of {}?",,,,"ali ste mislili enega izmed: {}, {}, {}, {}?","menade du någon av: {}, {}, {}, {}?",`{}` en `{}` en `{}` en `{}` li pona,,"можливо ви мали на увазі один з: {}, {}, {}, {}?","Did you mean: {}, {}, {}, {}? Or none of the above? LOL."
,not a directory,není adresář,,ʎɹoʇɔǝɹᴉp ɐ ʇou,"not a holdin' cell, arrr",,,ディレクトリではありません,niet een map,,,,ni mapa,inte en mapp,kulupu lipu ala,,не є папкою,"Not a directory, not a file. Wat am I even?"
[1],is a {},je,,{} ɐ sᴉ,be a {},,,{} です,is een {},,,,je {},är en {},ona li {},,є {},Wat even is dis? I'm a {} apparently.
a filter is a configuration block that only allows some requests based on their URI or request method,empty filter,prázdný filtr,,ɹǝʇlᴉɟ ʎʇdɯǝ,"empty filter, arrr",,,フィルターが空っぽです,lege filter,,,,prazen filter,tomt filter,ilo pali li jo ala,,порожній фільтр,OH NOES! Filter is empty. No can haz empty filter!
"`static` and `cgi` are keywords to specify a handler, a handler specifies how a request should be handled","consider specifying a handler using: `static`, `cgi`, etc...","zvažte specifikování handleru pomocí: `static`, `cgi`, atd...",,"˙˙˙ɔʇǝ ',ᴉƃɔ, ',ɔᴉʇɐʇs, :ƃuᴉsn ɹǝlpuɐɥ ɐ ƃuᴉʎɟᴉɔǝds ɹǝpᴉsuoɔ","think about specifyin' a handler using: `static`, `cgi`, etc...",,,`static'、 `cgi` というハンドラーをお使いになってはどうですか？,"overweeg om een behandelaar op te geven met: `static`, `cgi`, etc...",,,,"razmislite o tem, da bi določili izvajalca z uporabo: `static`, `cgi` itd...","överväg att ange en handerare med: `static`,  `cgi`, osv...",sina o sin e ilo pali kepeken `static` kepeken `cgi` kepeken ante...,,"спробуйте вказати обробника запитів використовуючи: `static`, `cgi`, і т.д.","Add a handler plz. Use: `static`, `cgi`, or somethin'."
,a address cannot be listened to with and without ssl at the same time,nelze odposlouchávat adresu zároveň s a bez ssl,,ǝɯᴉʇ ǝɯɐs ǝɥʇ ʇɐ lss ʇnoɥʇᴉʍ puɐ ɥʇᴉʍ oʇ pǝuǝʇsᴉl ǝq ʇouuɐɔ ssǝɹppɐ ɐ,"a address cannot be listened to with and without ssl at the same time, arrr",,,一つのアドレスは同時にSSLなしとSSLを使ってリスニングできません,een adres kan niet tegelijkertijd met en zonder ssl worden beluisterd,,,,naslova ni mogoče hkrati poslušati z in brez ssl,kan inte lyssna på en adress med och utan ssl samtidigt,"o ken ala kute tawa nimi ma kepeken ""ssl"" kepeken ala ""ssl"" lon tenpo sama",,адреса не може одночасно прослуховуватись з і без ssl,"OH NOES! I can't listen to dis address with and without SSL. Pick one, hooman!"
,consider listening to another address,zvažte odposlouchávat na jiné adrese,,ssǝɹppɐ ɹǝɥʇouɐ oʇ ƃuᴉuǝʇsᴉl ɹǝpᴉsuoɔ,"think about listenin' to another address, arrr",,,他のアドラスをお使いになってはどうですか？,overweeg om naar een ander adres te luisteren,,,,razmislite o poslušanju drugega naslova,överväg att lyssna på en annan adress,sina o kute tawa nimi ma ante,,спробуйте прослуховувати іншу адресу,Maybe try listening to another address? Just an idea.
,previously listened to here without ssl,původně odposloucháváno odsud bez ssl,,lss ʇnoɥʇᴉʍ ǝɹǝɥ oʇ pǝuǝʇsᴉl ʎlsnoᴉʌǝɹd,"previously listened to here without ssl, arrr",,,すでにここにSSLなし使っています,eerder hier beluisterd zonder ssl,,,,prej poslušal tukaj brez ssl,tidigare lyssnat på här utan ssl,"tenpo pini la, ona li kute lon ma ni kepeken ala ""ssl""",,попередньо ця адреса прослуховувалась без ssl,SSL and non-SSL clashed here before. Awkward.
,previously listened to here with ssl,původně odposloucháváno odsud s ssl,,lss ɥʇᴉʍ ǝɹǝɥ oʇ pǝuǝʇsᴉl ʎlsnoᴉʌǝɹd,"previously listened to here with ssl, arrr",,,すでにここにSSLを使っています,eerder hier beluisterd met ssl,,,,prej poslušal tukaj z ssl,tidigare lyssnat på här med ssl,"tenpo pini la, ona li kute lon ma ni kepeken ""ssl""",,попередньо ця адреса прослуховувалась з ssl,SSL vs. non-SSL fight again! Someone's gotta yield.
,ambiguous server,nejednoznačný server,,ɹǝʌɹǝs snonƃᴉqɯɐ,"ambiguous ship, arrr",,,定義されたサーバーが曖昧です,onduidelijke server,,,,dvoumen strežnik,tvetydig server,ilo pi nasin mute,,неоднозначний сервер,"Hooman, you confuse me. Who am I really listening to?"
,consider specifying a `server_name`,zvažte specifikování `server_name`,,",ǝɯɐu‾ɹǝʌɹǝs, ɐ ƃuᴉʎɟᴉɔǝds ɹǝpᴉsuoɔ",think about specifyin' a `ship_name`,,,`server_name`をお使いになってはどうですか？,overweeg om een `server_name` op te geven,,,,razmislite o navedbi imena strežnika `server_name`,överväg att specifiera ett ´server_name`,sina o sin e `server_name`,,спробуйте вказати `server_name`,"Confuzzled cat is confuzzled. Specify a `server_name`, plz?"
,another server is also listening to `{}`,jiný server také odposlouchává na `{}`,,",{}, oʇ ƃuᴉuǝʇsᴉl oslɐ sᴉ ɹǝʌɹǝs ɹǝɥʇouɐ",another ship be also listenin' to `{}`,,,他のサーバはすでに`{}`にリスニングされています,een andere server luistert ook naar `{}`,,,,drug strežnik že posluša na `{}`,en annan server lyssnar också på `{}`,ilo ante li kute tawa `{}`,,інший сервер також прослуховує `{}`,Another server be stealin' mah address! HISS!
,also listened to here,také odposloucháváno odsud,,ǝɹǝɥ oʇ pǝuǝʇsᴉl oslɐ,"also listened to here, arrr",,,ここにもリスニングされています,ook hier beluisterd,,,,tudi poslušal tukaj,lyssnade också på här,"kin la, lon ma ni",,,Remember me? I listened here before.
,another server listening to the same address has the same `server_name`,jiný server odposlouchávající na stejné adrese má stejný název `server_name`,,",ǝɯɐu‾ɹǝʌɹǝs, ǝɯɐs ǝɥʇ sɐɥ ssǝɹppɐ ǝɯɐs ǝɥʇ oʇ ƃuᴉuǝʇsᴉl ɹǝʌɹǝs ɹǝɥʇouɐ",another ship listenin' to the same address be havin' the same `ship_name`,,,すでに同じ`server_name`を使っているサーバーがあります,een andere server die naar hetzelfde adres luistert heeft dezelfde `server_name`,,,,"drug strežnik, ki posluša isti naslov, ima isti `server_name`",en annan server som lyssnar på samma adress har samma `server_name`,ilo ante li kute tawa nimi ma sama li jo e `server_name` sama,,інший сервер який прослувоє цю адресу має такий самий `server_name`,"Ohai, another server be eavesdroppin' on teh same address with teh same `server_name`. Wat a coincidence! LOL."
"previously as in ""at first / already""",previously specified here,původně definováno zde,,ǝɹǝɥ pǝᴉɟᴉɔǝds ʎlsnoᴉʌǝɹd,"previously specified here, arrr",,,すでにここに定義されました,eerder hier opgegeven,,,,predhodno naveden tukaj,tidigare angivits här,"tenpo pini la, ona li lon ma ni",,попередньо вказано тут,I said it here first! No take-backsies!
,server not listening to an address,server neodposlouchává adresu,,ssǝɹppɐ uɐ oʇ ƃuᴉuǝʇsᴉl ʇou ɹǝʌɹǝs,"ship not listenin' to an address, arrr",,,サーバーはリスニングされていません,server luistert niet naar een adres,,,,strežnik ne posluša naslova,servern lyssnar inte på en adress,ilo li kute ala tawa nimi ma,,сервер не прослуховує жодну адресу,Server not listenin' to address. Plz use `listen`.
,consider specifying an address using: `listen`,zvažte specifikování adresy pomocí: `listen`,,",uǝʇsᴉl, :ƃuᴉsn ssǝɹppɐ uɐ ƃuᴉʎɟᴉɔǝds ɹǝpᴉsuoɔ",think about specifyin' an address using: `listen`,,,`listen`を使ってアドラスにリスニングされてはどうですか？,overweeg om een adres op te geven met: `listen`,,,,razmislite o določitvi naslova z uporabo: `listen`,överväg att specifiera en adress med: `listen`,sina o sin e nimi ma kepeken `listen`,,спробуйте вказати адресу через `listen`,Maybe try telling me where to listen using: listen? Meow.
,invalid port,neplatný port,,ʇɹod pᴉlɐʌuᴉ,"rotten port, arrr",,,無効なポートです,ongeldige poort,,,,neveljaven prehod,ogiltig port,nanpa ma pakala,,некоректний порт,"Port failz. Invalid number. Make it real, plz."
,invalid number,neplatné číslo,,ɹǝqɯnu pᴉlɐʌuᴉ,"rotten number, arrr",,,無効な数字です,ongeldig nummer,,,,neveljavna številka,ogiltigt nummer,nanpa pakala,,некоректне число,"OH NOES! Invalid number! Me no understand dis gibberish. Numbers, not chaos, plz."
,redefinition of max_body_size,redefinice max_body_size,,ǝzᴉs‾ʎpoq‾xɐɯ ɟo uoᴉʇᴉuᴉɟǝpǝɹ,"redefinition of max_body_size, arrr",,,max_body_sizeが再定義されました,herdefinitie van max_body_size,,,,redefinicija max_body_size,omdefiniering av max_body_size,"""max_body_size"" tu",,переозначення max_body_size,"Wat u think, redefining max_body_size? Nope."
,previously defined here,původně definováno zde,,ǝɹǝɥ pǝuᴉɟǝp ʎlsnoᴉʌǝɹd,"previously defined here, arrr",,,すでにここで定義された,eerder hier gedefinieerd,,,,predhodno definiran tukaj,tidigare definierad här,"tenpo pini la, ona li lon ma ni",,попередньо означено тут,"I remember dis from b4. U changed ur mind, huh?"
,invalid max_body_size,neplatné max_body_size,,ǝzᴉs‾ʎpoq‾xɐɯ pᴉlɐʌuᴉ,"rotten max_body_size, arrr",,,無効なmax_body_size,ongeldige max_body_size,,,,neveljaven max_body_size,ogiltig max_body_size,"""max_body_size"" pakala",,некоректний max_body_size,"Max body size failz. No can do, fren."
,redefinition of {},redefinice {},,{} ɟo uoᴉʇᴉuᴉɟǝpǝɹ,redefinition of {},,,{}が再定義されました,herdefinitie van {},,,,redefinicija {},omdefiniering av {},"""{}"" tu",,переозначення {},OH NOES! Something's {}. Duplicates be cray cray!
,duplicate {},duplikát {},,{} ǝʇɐɔᴉldnp,duplicate {},,,複数の`{}`,duplicaat {},,,,podvojen {},duplikat {},{} tu,,подвоєння {},Double trouble! U copied {}. That's not nice.
,request handler,handler requestů,,ɹǝlpuɐɥ ʇsǝnbǝɹ,"request handler, arrr",,,ハンドラー,verzoek behandelaar,,,,izvajalec zahtevkov,begäranhanterare,ilo pali,,обробник запитів,"Look, a wild request handler appeared! Captcha, plz."
"so an http request looks like
GET / HTTP/1.1
Host: www.example.com
User-Agent: Mozilla/5.0
&($@&#%: keep-alive
but that last header key is invalid",invalid header key,neplatný klíč v hlavičce,,ʎǝʞ ɹǝpɐǝɥ pᴉlɐʌuᴉ,"rotten header key, arrr",,,無効なヘッダキー,ongeldige headersleutel,,,,neveljaven ključ glave,ogiltig huvudnyckel,nimi open sinpin pakala,,некоректний ключ заголовка,Header key failz. Invalid character. Plz no.
,because of invalid character `{}`,kvůli neplatnému znaku `{}`,,",{}, ɹǝʇɔɐɹɐɥɔ pᴉlɐʌuᴉ ɟo ǝsnɐɔǝq",because of rotten character `{}`,,,無効の`{}`字を使っていますから,vanwege het ongeldige karakter `{}`,,,,zaradi neveljavnega znaka `{}`,på grund av ogiltigt tecken `{}`,tan sitelen pakala `{}`,,через некоректний символ `{}`,because of invalid character `{}`
,invalid header value,neplatná hodnota v hlavičce,,ǝnlɐʌ ɹǝpɐǝɥ pᴉlɐʌuᴉ,"rotten header value, arrr",,,無効なヘッダコンテナ,ongeldige headerwaarde,,,,neveljavna vrednost glave,ogiltigt huvudvärde,nimi sinpin pakala,,некоректне значення заголовка,"Invalid header value. Control urself, hooman!"
,because of a reserved control character `{}`,kvůli rezervovanému řídícímu znaku `{}`,,",{}, ɹǝʇɔɐɹɐɥɔ loɹʇuoɔ pǝʌɹǝsǝɹ ɐ ɟo ǝsnɐɔǝq",because of a cursed control character `{}`,,,`{}`という特別な文字を使っていますから,vanwege het ongeldige controlekarakter `{}`,,,,zaradi rezerviranega kontrolnega znaka `{}`,på grund av ett reserverat kontrolltecken `{}`,tan sitelen lawa pakala `{}`,,чрез зарезервований службовий символ `{}`,Because of a reserved control character `{}`. Me no like dis control.
,redefinition of `set_header`,redefinice`set_header`,,",ɹǝpɐǝɥ‾ʇǝs, ɟo uoᴉʇᴉuᴉɟǝpǝɹ",redefinition of `set_header`,,,`set_header`が再定義されました,"herdefinitie van ""set_header""",,,,redefinicija `set_header`,omdefiniering av `set_header`,"""set_header"" tu",,переозначення `set_header`,Redefined `set_header`. Overriding like a boss.
,a previous definition with the same key will be overridden,předchozí definice se stejným klíčem bude přepsána,,uǝpᴉɹɹǝʌo ǝq llᴉʍ ʎǝʞ ǝɯɐs ǝɥʇ ɥʇᴉʍ uoᴉʇᴉuᴉɟǝp snoᴉʌǝɹd ɐ,"a previous definition with the same key will be overridden, arrr",,,同じキーを使っている定義が上書きされます,de vorige definitie met dezelfde sleutel zal worden overschreven,,,,predhodna definicija z isti ključem bo prepisana,en tidigare definering med samma nyckel kommer skrivas över,nimi pini pi nimi open sama li kama weka,,попереднє означення з таким самим ключем буде замімено,"Uh-oh, same key, different value. Who will win?"
,not a number,není číslo,,ɹǝqɯnu ɐ ʇou,"not a number, arrr",,,数字ではありません,niet een nummer,,,,ni število,inte ett nummer,nanpa ala,,не є числом,"Oh noez! Not a number! I can haz digits, plz?"
,a number must only contain digits,číslo musí obsahovat pouze číslice,,sʇᴉƃᴉp uᴉɐʇuoɔ ʎluo ʇsnɯ ɹǝqɯnu ɐ,"a number must only contain digits, arrr",,,数は数字だけでできます,een nummer moet alleen cijfers bevatten,,,,število mora vsebovati samo števke,ett nummer får endast innehålla siffror,nanpa li wile jo e sitelen nanpa taso,,число май містити тільки цифри,"Numbers only, kthx. No alphabet soup, plz."
,number too large,číslo je příliš velké,,ǝƃɹɐl ooʇ ɹǝqɯnu,"number too large, arrr",,,数字が大きすぎます,nummer te groot,,,,število preveliko,för stort nummer,nanpa suli pakala,,завелике число,Numberz too big for my tiny paws. Plz resize.
,maximum accepted value is {},největší povolené hodnota je {},,{} sᴉ ǝnlɐʌ pǝʇdǝɔɔɐ ɯnɯᴉxɐɯ,maximum accepted value be {},,,{}以上は無効です,maximale waarde is {},,,,največja sprejeta vrednost je {},högsta tillåtna värde är {},nanpa suli nanpa wan li {},,найбільше допустиме значення це {},Ohai! Maximum accepted value is {}. Don't go overboard!
,a number must contain at least one digit,číslo musí obsahovat alespoň jednu číslici,,ʇᴉƃᴉp ǝuo ʇsɐǝl ʇɐ uᴉɐʇuoɔ ʇsnɯ ɹǝqɯnu ɐ,"a number must contain at least one piece of eight-worthy digit, arrr",,,数字は少なくとも数字文字の一つで出来ていなくてはなりません,een nummer moet minimaal één cijfer bevatten,,,,število mora vsebovati vsaj eno števko,ett nummer måste innehålla åtminstone en siffra,nanpa li wile jo e sitelen nanpa wan any sitelen nanpa mute,,число має містити хоча б одну цифру,"At least one digit, hooman. Count to one. Meow."
,invalid directory listing option,neplatná možnost výpisu adresářů,,uoᴉʇdo ƃuᴉʇsᴉl ʎɹoʇɔǝɹᴉp pᴉlɐʌuᴉ,"rotten directory listin' option, arrr",,,無効なディレクトリリスティング,ongeldige mapvermeldingsoptie,,,,neveljavna možnost za izpis map,ogiltigt alternativ för mapp-listning,nasin pakala pi kulupu lipu,,,Invalid directory listing option? Is that a thing?
,expected either `true` or `false`,očekáváno buď `true` nebo `false`,,",ǝslɐɟ, ɹo ,ǝnɹʇ, ɹǝɥʇᴉǝ pǝʇɔǝdxǝ","expected either `true` or `false`, arrr",,,`true`か`false`が予想されます,verwachte `true` of `false`,,,,pričakovan ali `true` ali `false`,förväntade antingen `true` eller `false`,`true` anu `false` li pona,,очікувано або `true` або `false`,"True or false, hooman? Pick one and stick with it!"
